코  드,품      명,규      격,단위,재 료 비,노 무 비,경    비,합    계,번  호,비    고,START,품셈개요
5FFC647FF8009843A3BD86FB5C1A1A,"말뚝박기천공, 점질토(케이싱 미사용)","∮500mm 미만*20m 이상, 개량형비트",M,"4,264","6,507","3,658","14,429",산근 1009,개량형비트사용,5FFC647FF8009843A3BD86FB5C1A1A,공통 5-3-2
5FFC647FF8009843A3BD86FB6EFE13,"말뚝박기천공, 사질토(케이싱 사용)","∮500mm 미만*10m 미만, 개량형비트",M,"6,660","10,878","4,487","22,025",산근 1010,개량형비트사용,5FFC647FF8009843A3BD86FB6EFE13,공통 5-3-2
5FFC647FF8009843A3BD86FB6EC21F,"말뚝박기천공, 사질토(케이싱 미사용)","∮500mm 미만*10m 미만, 개량형비트",M,"6,634","10,878","3,789","21,301",산근 1011,개량형비트사용,5FFC647FF8009843A3BD86FB6EC21F,공통 5-3-2
5FFC647FF8009843A3BD86FB6ED315,"말뚝박기천공, 사질토(케이싱 사용)","∮500mm 미만*20m 미만, 개량형비트",M,"5,551","8,779","4,706","19,036",산근 1012,개량형비트사용,5FFC647FF8009843A3BD86FB6ED315,공통 5-3-2
5FFC647FF8009843A3BD86FB6EA611,"말뚝박기천공, 사질토(케이싱 미사용)","∮500mm 미만*20m 미만, 개량형비트",M,"5,530","8,779","3,933","18,242",산근 1013,개량형비트사용,5FFC647FF8009843A3BD86FB6EA611,공통 5-3-2
5FFC647FF8009843A3BD86FB6EB018,"말뚝박기천공, 사질토(케이싱 사용)","∮500mm 미만*20m 이상, 개량형비트",M,"5,317","8,086","5,953","19,356",산근 1014,개량형비트사용,5FFC647FF8009843A3BD86FB6EB018,공통 5-3-2
5FFC647FF8009843A3BD86FB6E8B14,"말뚝박기천공, 사질토(케이싱 미사용)","∮500mm 미만*20m 이상, 개량형비트",M,"5,298","8,086","4,546","17,930",산근 1015,개량형비트사용,5FFC647FF8009843A3BD86FB6E8B14,공통 5-3-2
5FFC647FF8009843A3BD86FB7F4217,"말뚝박기천공, 풍화암(케이싱 사용)","∮500mm 미만*10m 미만, 개량형비트",M,"19,142","31,264","12,896","63,302",산근 1016,개량형비트사용,5FFC647FF8009843A3BD86FB7F4217,공통 5-3-2
5FFC647FF8009843A3BD86FB7F7F1B,"말뚝박기천공, 풍화암(케이싱 미사용)","∮500mm 미만*10m 미만, 개량형비트",M,"19,069","31,264","10,891","61,224",산근 1017,개량형비트사용,5FFC647FF8009843A3BD86FB7F7F1B,공통 5-3-2
5FFC647FF8009843A3BD86FB7F6D15,"말뚝박기천공, 풍화암(케이싱 사용)","∮500mm 미만*20m 미만, 개량형비트",M,"18,441","29,163","15,635","63,239",산근 1018,개량형비트사용,5FFC647FF8009843A3BD86FB7F6D15,공통 5-3-2
5FFC647FF8009843A3BD86FB7F1513,"말뚝박기천공, 풍화암(케이싱 미사용)","∮500mm 미만*20m 미만, 개량형비트",M,"18,373","29,163","13,068","60,604",산근 1019,개량형비트사용,5FFC647FF8009843A3BD86FB7F1513,공통 5-3-2
5FFC647FF8009843A3BD86FB7F041C,"말뚝박기천공, 풍화암(케이싱 사용)","∮500mm 미만*20m 이상, 개량형비트",M,"18,723","28,471","20,961","68,155",산근 1020,개량형비트사용,5FFC647FF8009843A3BD86FB7F041C,공통 5-3-2
5FFC647FF8009843A3BD86FB7F3010,"말뚝박기천공, 풍화암(케이싱 미사용)","∮500mm 미만*20m 이상, 개량형비트",M,"18,657","28,471","16,006","63,134",산근 1021,개량형비트사용,5FFC647FF8009843A3BD86FB7F3010,공통 5-3-2
